2023-06-25 14:19: Experiment log path in: ../runs/PEMS04/06-25-14h19m_PEMS04_gode_rnn__embed{10}hid{128}hidhid{128}lyrs{3}lr{0.001}wd{0.001}
2023-06-25 14:19: Train Epoch 1: 0/158 Loss: 157.828049
2023-06-25 14:20: Train Epoch 1: 20/158 Loss: 50.219173
2023-06-25 14:20: Train Epoch 1: 40/158 Loss: 37.066330
2023-06-25 14:20: Train Epoch 1: 60/158 Loss: 31.661726
2023-06-25 14:20: Train Epoch 1: 80/158 Loss: 32.587921
2023-06-25 14:21: Train Epoch 1: 100/158 Loss: 29.842134
2023-06-25 14:21: Train Epoch 1: 120/158 Loss: 35.444767
2023-06-25 14:21: Train Epoch 1: 140/158 Loss: 35.637947
2023-06-25 14:22: **********Train Epoch 1: averaged Loss: 41.964048
2023-06-25 14:22: **********Val Epoch 1: average Loss: 32.299455
2023-06-25 14:22: *********************************Current best model saved!
2023-06-25 14:22: Train Epoch 2: 0/158 Loss: 29.865374
2023-06-25 14:22: Train Epoch 2: 20/158 Loss: 29.854336
2023-06-25 14:22: Train Epoch 2: 40/158 Loss: 34.422157
2023-06-25 14:23: Train Epoch 2: 60/158 Loss: 26.522171
2023-06-25 14:23: Train Epoch 2: 80/158 Loss: 31.639074
2023-06-25 14:23: Train Epoch 2: 100/158 Loss: 29.806984
2023-06-25 14:24: Train Epoch 2: 120/158 Loss: 28.845360
2023-06-25 14:24: Train Epoch 2: 140/158 Loss: 26.528101
2023-06-25 14:24: **********Train Epoch 2: averaged Loss: 28.599063
2023-06-25 14:24: **********Val Epoch 2: average Loss: 28.288581
2023-06-25 14:24: *********************************Current best model saved!
2023-06-25 14:24: Train Epoch 3: 0/158 Loss: 26.107870
2023-06-25 14:25: Train Epoch 3: 20/158 Loss: 29.248497
2023-06-25 14:25: Train Epoch 3: 40/158 Loss: 30.449747
2023-06-25 14:25: Train Epoch 3: 60/158 Loss: 31.608095
2023-06-25 14:25: Train Epoch 3: 80/158 Loss: 27.802738
2023-06-25 14:26: Train Epoch 3: 100/158 Loss: 27.389044
2023-06-25 14:26: Train Epoch 3: 120/158 Loss: 24.687332
2023-06-25 14:26: Train Epoch 3: 140/158 Loss: 27.332447
2023-06-25 14:27: **********Train Epoch 3: averaged Loss: 26.842377
2023-06-25 14:27: **********Val Epoch 3: average Loss: 27.389548
2023-06-25 14:27: *********************************Current best model saved!
2023-06-25 14:27: Train Epoch 4: 0/158 Loss: 26.239992
2023-06-25 14:27: Train Epoch 4: 20/158 Loss: 25.463419
